gene_idx,frame,action_id,action_name,mario_x,mario_y,vel_x,vel_y,float_state,on_ground,delta_x
238,952,9,Right+Jump+Run,898,147,0,-3,1,0,0
239,956,4,Right+Jump,898,136,0,-3,1,0,0
240,960,9,Right+Jump+Run,898,127,4,-2,1,0,0
241,964,9,Right+Jump+Run,898,119,1,-2,1,0,0
242,968,9,Right+Jump+Run,899,114,6,-1,1,0,1
243,972,4,Right+Jump,901,111,11,-1,1,0,2
244,976,9,Right+Jump+Run,904,110,15,0,1,0,3
245,980,0,NOOP,908,112,15,0,0,1,4
246,984,10,Left+Jump+Run,911,96,11,-4,1,0,3
247,988,9,Right+Jump+Run,915,83,15,-3,1,0,4
248,992,9,Right+Jump+Run,919,72,20,-3,1,0,4
249,996,9,Right+Jump+Run,925,63,24,-2,1,0,6
250,1000,9,Right+Jump+Run,931,55,24,-2,1,0,6
251,1004,5,Left+Jump,936,50,19,-1,1,0,5
252,1008,6,Run,941,49,19,0,1,0,5
253,1012,3,Jump,946,54,19,2,1,0,5
254,1016,8,Left+Run,950,67,14,4,1,0,4
255,1020,8,Left+Run,953,84,9,4,1,0,3
256,1024,6,Run,955,100,9,4,1,0,2
257,1028,1,Right,958,117,14,4,1,0,3
258,1032,4,Right+Jump,962,134,19,4,1,0,4
259,1036,7,Right+Run,968,151,24,4,1,0,6
260,1040,1,Right,974,168,24,4,1,0,6
261,1044,9,Right+Jump+Run,980,176,26,0,0,1,6
262,1048,11,Down,986,176,24,0,0,1,6
263,1052,7,Right+Run,993,176,28,0,0,1,7
264,1056,9,Right+Jump+Run,1000,156,31,-5,1,0,7
265,1060,1,Right,1009,142,35,-3,1,0,9
266,1064,9,Right+Jump+Run,1018,137,38,0,1,0,9
267,1068,1,Right,1028,141,40,2,1,0,10
268,1072,4,Right+Jump,1038,154,40,4,1,0,10
269,1076,1,Right,1048,170,40,4,1,0,10
270,1080,7,Right+Run,1058,176,40,0,0,1,10
271,1084,6,Run,1067,176,36,0,0,1,9
272,1088,9,Right+Jump+Run,1077,156,40,-5,1,0,10
273,1092,9,Right+Jump+Run,1087,140,40,-4,1,0,10
274,1096,1,Right,1097,128,40,-2,1,0,10
275,1100,1,Right,1107,126,40,0,1,0,10
276,1104,7,Right+Run,1117,132,40,3,1,0,10
277,1108,1,Right,1127,147,40,4,1,0,10
278,1112,9,Right+Jump+Run,1137,163,40,4,1,0,10
279,1116,9,Right+Jump+Run,1147,176,40,0,0,1,10
280,1120,7,Right+Run,1157,176,40,0,0,1,10
281,1124,9,Right+Jump+Run,1167,156,40,-5,1,0,10
282,1128,9,Right+Jump+Run,1177,140,40,-4,1,0,10
283,1132,1,Right,1187,128,40,-2,1,0,10
284,1136,1,Right,1197,126,40,0,1,0,10
285,1140,9,Right+Jump+Run,1207,132,40,3,1,0,10
286,1144,11,Down,1217,147,40,4,1,0,10
287,1148,7,Right+Run,1227,163,40,4,1,0,10
288,1152,0,NOOP,1237,176,40,0,0,1,10
289,1156,7,Right+Run,1247,176,40,0,0,1,10
290,1160,7,Right+Run,1257,176,40,0,0,1,10
291,1164,3,Jump,1267,156,40,-5,1,0,10
292,1168,0,NOOP,1277,142,40,-3,1,0,10
293,1172,4,Right+Jump,1287,137,40,0,1,0,10
294,1176,7,Right+Run,1297,141,40,2,1,0,10
295,1180,7,Right+Run,1307,154,40,4,1,0,10
296,1184,7,Right+Run,1317,170,40,4,1,0,10
297,1188,9,Right+Jump+Run,1327,176,40,0,0,1,10
298,1192,9,Right+Jump+Run,1337,176,40,0,0,1,10
299,1196,1,Right,1347,176,40,0,0,1,10
300,1200,9,Right+Jump+Run,1357,156,40,-5,1,0,10
301,1204,11,Down,1367,142,40,-3,1,0,10
302,1208,9,Right+Jump+Run,1377,137,40,0,1,0,10
303,1212,9,Right+Jump+Run,1387,141,40,2,1,0,10
304,1216,9,Right+Jump+Run,1397,154,40,4,1,0,10
305,1220,7,Right+Run,1407,170,40,4,1,0,10
306,1224,9,Right+Jump+Run,1417,176,40,0,0,1,10
307,1228,2,Left,1426,176,35,0,0,1,9
308,1232,4,Right+Jump,1436,156,40,-5,1,0,10
309,1236,7,Right+Run,1446,142,40,-3,1,0,10
310,1240,9,Right+Jump+Run,1456,137,40,0,1,0,10
311,1244,4,Right+Jump,1466,141,40,2,1,0,10
312,1248,4,Right+Jump,1476,154,40,4,1,0,10
313,1252,9,Right+Jump+Run,1486,170,40,4,1,0,10
314,1256,8,Left+Run,1495,176,33,0,0,1,9
315,1260,2,Left,1502,176,27,0,0,1,7
316,1264,8,Left+Run,1508,176,20,0,0,1,6
317,1268,6,Run,1512,176,14,0,0,1,4
318,1272,9,Right+Jump+Run,1516,160,20,-4,1,0,4
319,1276,0,NOOP,1521,149,20,-2,1,0,5
320,1280,0,NOOP,1526,145,20,0,1,0,5
321,1284,4,Right+Jump,1532,147,24,1,1,0,6
322,1288,9,Right+Jump+Run,1538,157,24,3,1,0,6
323,1292,1,Right,1544,173,24,-4,1,0,6
324,1296,7,Right+Run,1550,161,24,-2,1,0,6
325,1300,4,Right+Jump,1556,156,24,-1,1,0,6
326,1304,4,Right+Jump,1562,159,24,1,1,0,6
327,1308,2,Left,1567,168,18,3,1,0,5
328,1312,4,Right+Jump,1573,176,24,0,0,1,6
