timestamp,episode,duration_seconds,total_steps,total_reward,mario_x_final,mario_x_max,level_completed,death_cause,lives_remaining,score,coins_collected,enemies_killed,powerups_collected,time_remaining,completion_percentage,average_reward_per_step,max_q_value,min_q_value,exploration_actions,exploitation_actions
2026-03-25T18:39:49.921840,97,14.01091742515564,841,10.799999999999782,84,84,False,stuck_timeout,0,0,0,0,0,0,2.6515151515151514,0.012841854934601406,9.762385368347168,9.762385368347168,814,26
2026-03-25T18:39:55.530896,98,5.097167730331421,302,-28.0000000000001,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.0927152317880798,9.762385368347168,9.762385368347168,292,9
2026-03-25T18:40:08.064340,99,12.016246795654297,717,35.39999999999975,122,122,False,stuck_timeout,0,0,0,0,0,0,3.8510101010101008,0.049372384937238147,9.762385368347168,9.762385368347168,694,22
2026-03-25T18:40:15.439070,100,6.0691282749176025,359,-20.899999999999995,48,48,False,stuck_timeout,0,0,0,0,0,0,1.5151515151515151,-0.05821727019498606,9.931514739990234,9.931514739990234,347,11
2026-03-25T18:40:30.342363,101,14.393768787384033,861,63.70000000000095,147,147,False,stuck_timeout,0,0,0,0,0,0,4.640151515151516,0.07398373983739948,9.931514739990234,9.931514739990234,833,27
2026-03-25T18:40:38.517086,102,7.659083843231201,460,62.60000000000096,130,130,False,stuck_timeout,0,0,0,0,0,0,4.103535353535354,0.13608695652174121,9.931514739990234,9.931514739990234,445,14
2026-03-25T18:40:50.109022,103,9.83376407623291,591,222.0,275,275,False,death,0,0,0,0,0,0,8.680555555555555,0.3756345177664975,10.056502342224121,10.056502342224121,571,19
2026-03-25T18:41:02.161206,104,10.371646881103516,619,182.80000000000027,241,241,False,death,0,0,0,0,0,0,7.607323232323232,0.2953150242326337,10.063800811767578,10.063800811767578,598,20
2026-03-25T18:41:15.907586,105,13.237595081329346,791,97.10000000000068,174,174,False,death,0,0,0,0,0,0,5.492424242424242,0.12275600505689087,10.063800811767578,10.063800811767578,764,26
2026-03-25T18:41:22.033236,106,5.613523483276367,332,-19.099999999999998,50,50,False,stuck_timeout,0,0,0,0,0,0,1.5782828282828283,-0.0575301204819277,10.063800811767578,10.063800811767578,321,10
2026-03-25T18:41:28.090068,107,5.5477354526519775,330,-21.300000000000036,47,47,False,stuck_timeout,0,0,0,0,0,0,1.4835858585858586,-0.06454545454545466,10.063800811767578,10.063800811767578,319,10
2026-03-25T18:41:34.184954,108,5.581738233566284,332,-20.000000000000004,49,49,False,stuck_timeout,0,0,0,0,0,0,1.5467171717171717,-0.0602409638554217,10.063800811767578,10.063800811767578,321,10
2026-03-25T18:42:02.912342,109,25.46216106414795,1526,362.4999999999917,462,462,False,stuck_timeout,0,0,0,0,0,0,14.583333333333334,0.23754914809960137,10.10563850402832,10.10563850402832,1474,51
