episode_id,timestamp,start_time,end_time,duration,max_x_reached,level_progress_percent,level_completed,lives_used,deaths,death_causes,total_reward,avg_reward_per_frame,distance_reward,completion_reward,powerup_reward,enemy_reward,score_reward,coin_reward,death_penalty,movement_penalty,stuck_penalty,score,coins_collected,enemies_killed,powerups_collected,time_remaining,frames_processed,actions_taken,avg_fps,sync_quality,status,termination_reason,curriculum_phase
37,2026-03-25T18:28:11.194307,1774481291.1943066,1774481296.2706192,5.07631254196167,40,1.2626262626262625,False,0,0,,-22.900000000000112,-0.0758278145695368,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,59.492002807868154,1.0,terminated,stuck_timeout,exploration
38,2026-03-25T18:28:17.001219,1774481297.0012193,1774481311.2465286,14.245309352874756,53,1.672979797979798,False,0,0,,-34.300000000000225,-0.04025821596244158,5.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,852,0,59.80916095922222,1.0,terminated,stuck_timeout,exploration
39,2026-03-25T18:28:32.205410,1774481312.2054102,1774481317.3248258,5.119415521621704,40,1.2626262626262625,False,0,0,,-20.700000000000077,-0.06854304635761616,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,58.99110918512312,1.0,terminated,stuck_timeout,exploration
40,2026-03-25T18:28:38.089134,1774481318.0891337,1774481333.7481258,15.658992052078247,311,9.816919191919192,False,0,0,,249.00000000000207,0.2651757188498425,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,939,0,59.96554547553888,1.0,terminated,stuck_timeout,exploration
41,2026-03-25T18:28:54.751976,1774481334.7519758,1774481342.8328948,8.080919027328491,107,3.3775252525252526,False,0,0,,45.599999999999724,0.09460580912863013,10.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,482,0,59.646681073024766,1.0,terminated,stuck_timeout,exploration
42,2026-03-25T18:29:03.656543,1774481343.656543,1774481349.5356953,5.879152297973633,49,1.5467171717171717,False,0,0,,-15.199999999999955,-0.0434285714285713,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,350,0,59.532392130857794,1.0,terminated,stuck_timeout,exploration
43,2026-03-25T18:29:10.317899,1774481350.317899,1774481355.3275287,5.009629726409912,40,1.2626262626262625,False,0,0,,-24.20000000000007,-0.08013245033112606,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,60.283896513929484,1.0,terminated,stuck_timeout,exploration
44,2026-03-25T18:29:16.041462,1774481356.041462,1774481368.1195357,12.078073740005493,107,3.3775252525252526,False,0,0,,35.29999999999955,0.04882434301521376,10.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,723,0,59.8605386557005,1.0,terminated,stuck_timeout,exploration
45,2026-03-25T18:29:29.220580,1774481369.22058,1774481383.1307726,13.910192489624023,187,5.902777777777778,False,0,0,,126.70000000000054,0.15173652694610842,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,835,0,60.0279256108676,1.0,failed,death,exploration
46,2026-03-25T18:29:44.184410,1774481384.18441,1774481389.9436083,5.759198188781738,45,1.4204545454545454,False,0,0,,-19.200000000000035,-0.05565217391304358,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,345,0,59.90417219397323,1.0,terminated,stuck_timeout,exploration
